,order_id,order_time,ticker,token,qty,filled_qty,price,transaction_type,product_type,exchange_segement,order_status,strike_price,option_type,brdLtQty,expiry_date,tag,message
0,241024001410832,24-Oct-2024 15:01:34,BANKNIFTY24OCT46000PE,42503,150,150,3.40,S,MIS,nse_fo,complete,46000.00,PE,15,"30 Oct, 2024",1729762294-979517-CYMPM4545E-ADMINAPI,--
1,241024001410304,24-Oct-2024 15:01:28,BANKNIFTY24OCT55500CE,43247,150,150,3.45,S,MIS,nse_fo,complete,55500.00,CE,15,"30 Oct, 2024",1729762288-608526-CYMPM4545E-ADMINAPI,--
2,241024001370955,24-Oct-2024 15:01:42,BANKNIFTY24OCT50700PE,43091,30,0,0.00,S,MIS,nse_fo,cancelled,50700.00,PE,15,"30 Oct, 2024",RE_Second_PE_2_re_entry_MIS,--
3,241024001107863,24-Oct-2024 13:59:07,BANKNIFTY24OCT52300CE,43143,30,30,133.85,B,MIS,nse_fo,complete,52300.00,CE,15,"30 Oct, 2024",RE_First_CE_0_re_entry_MIS_sl_MIS,--
4,241024000708768,24-Oct-2024 15:01:02,BANKNIFTY24OCT52500CE,43147,30,30,61.65,B,MIS,nse_fo,complete,52500.00,CE,15,"30 Oct, 2024",1729762260-660561-CYMPM4545E-ADMINAPI,--
5,241024000705022,24-Oct-2024 15:01:01,BANKNIFTY24OCT52500CE,43147,30,30,62.00,B,MIS,nse_fo,complete,52500.00,CE,15,"30 Oct, 2024",1729762261-682528-CYMPM4545E-ADMINAPI,--
6,241024000704002,24-Oct-2024 11:00:01,BANKNIFTY24OCT50800PE,43094,30,0,0.00,S,MIS,nse_fo,rejected,50800.00,PE,15,"30 Oct, 2024",RE_Third_PE_0_MIS,"RMS:Margin Exceeds,Cash Available:791490.09,Additional margin required:131650.99 for entity account-XX6WL across exchange across segment across product "
7,241024000703848,24-Oct-2024 11:00:00,BANKNIFTY24OCT52500CE,43147,30,30,122.05,S,MIS,nse_fo,complete,52500.00,CE,15,"30 Oct, 2024",RE_Third_CE_0_MIS,--
8,241024000595983,24-Oct-2024 11:00:45,BANKNIFTY24OCT52500CE,43147,30,30,110.10,S,MIS,nse_fo,complete,52500.00,CE,15,"30 Oct, 2024",RE_Second_CE_2_re_entry_MIS,--
9,241024000581200,24-Oct-2024 10:33:24,BANKNIFTY24OCT52500CE,43147,30,30,136.33,B,MIS,nse_fo,complete,52500.00,CE,15,"30 Oct, 2024",1729746204-580362-CYMPM4545E-ADMINAPI,--
10,241024000580088,24-Oct-2024 14:50:45,BANKNIFTY24OCT50700PE,43091,30,30,139.00,B,MIS,nse_fo,complete,50700.00,PE,15,"30 Oct, 2024",RE_Second_PE_2_MIS_sl_MIS,--
11,241024000579083,24-Oct-2024 10:30:01,BANKNIFTY24OCT50700PE,43091,30,30,116.00,S,MIS,nse_fo,complete,50700.00,PE,15,"30 Oct, 2024",RE_Second_PE_2_MIS,--
12,241024000578932,24-Oct-2024 10:30:27,BANKNIFTY24OCT52500CE,43147,30,30,110.20,S,MIS,nse_fo,complete,52500.00,CE,15,"30 Oct, 2024",RE_Second_CE_2_MIS,--
13,241024000407325,24-Oct-2024 13:31:16,BANKNIFTY24OCT52300CE,43143,30,30,112.10,S,MIS,nse_fo,complete,52300.00,CE,15,"30 Oct, 2024",RE_First_CE_0_re_entry_MIS,--
14,241024000345165,24-Oct-2024 15:01:08,BANKNIFTY24OCT50400PE,43073,30,30,87.35,B,MIS,nse_fo,complete,50400.00,PE,15,"30 Oct, 2024",1729762268-246906-CYMPM4545E-ADMINAPI,--
15,241024000343322,24-Oct-2024 15:01:03,BANKNIFTY24OCT50100PE,43066,30,30,59.25,B,MIS,nse_fo,complete,50100.00,PE,15,"30 Oct, 2024",1729762263-432203-CYMPM4545E-ADMINAPI,--
16,241024000300237,24-Oct-2024 09:53:22,BANKNIFTY24OCT50100PE,43066,30,30,86.00,S,MIS,nse_fo,complete,50100.00,PE,15,"30 Oct, 2024",WNT_First_PE_0_MIS,--
17,241024000300103,24-Oct-2024 15:01:35,BANKNIFTY24OCT52300CE,43143,30,0,0.00,S,MIS,nse_fo,cancelled,52300.00,CE,15,"30 Oct, 2024",WNT_First_CE_0_MIS,--
18,241024000248019,24-Oct-2024 09:40:38,BANKNIFTY24OCT46000PE,42503,150,150,4.10,B,MIS,nse_fo,complete,46000.00,PE,15,"30 Oct, 2024",1729743038-221651-CYMPM4545E-ADMINAPI,--
19,241024000247837,24-Oct-2024 09:40:37,BANKNIFTY24OCT55500CE,43247,150,150,4.30,B,MIS,nse_fo,complete,55500.00,CE,15,"30 Oct, 2024",1729743037-335138-CYMPM4545E-ADMINAPI,--
